tool,cases,expected,raw_findings,scoped_findings,tp,fp,fn,precision,recall,f1
mobsf,10,25,65,32,9,23,16,0.2812,0.3600,0.3158
our_scanner,10,25,0,0,0,0,25,N/A,0.0000,N/A
