tool,cases,expected,raw_findings,scoped_findings,tp,fp,fn,precision,recall,f1,high_confidence_findings,high_confidence_precision,high_priority_findings,high_priority_precision,severity_score_mae,confidence_score_mae
mobsf,10,25,85,0,0,0,25,N/A,0.0000,N/A,0,N/A,0,N/A,N/A,N/A
our_scanner,10,25,0,0,0,0,25,N/A,0.0000,N/A,0,N/A,0,N/A,N/A,N/A
