tool,case_id,test_id,expected_count,raw_finding_count,scoped_finding_count,tp,fp,fn,precision,recall,f1,top5_precision,high_confidence_finding_count,high_confidence_precision,high_priority_finding_count,high_priority_precision,severity_score_mae,confidence_score_mae
our_scanner,Network/MASTG-TEST0019,MASTG-TEST-0019,5,2,2,2,0,3,1.0000,0.4000,0.5714,1.0000,2,1.0000,0,N/A,N/A,N/A
our_scanner,Network/MASTG-TEST0020,MASTG-TEST-0020,2,3,3,2,1,0,0.6667,1.0000,0.8000,0.6667,3,0.6667,1,1.0000,N/A,N/A
our_scanner,Network/MASTG-TEST0021,MASTG-TEST-0021,5,1,1,1,0,4,1.0000,0.2000,0.3333,1.0000,1,1.0000,0,N/A,N/A,N/A
our_scanner,Network/MASTG-TEST0022,MASTG-TEST-0022,2,3,3,1,2,1,0.3333,0.5000,0.4000,0.3333,3,0.3333,1,0.0000,N/A,N/A
our_scanner,Network/MASTG-TEST0023,MASTG-TEST-0023,2,0,0,0,0,2,N/A,0.0000,N/A,N/A,0,N/A,0,N/A,N/A,N/A
